GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P035001,P035001.2000
5167000,160,51,,,,,,Richmond city,204214,98349,197790,92282,41304,43649
5167256,160,51,,,,,,Riner CDP,859,353,,,258,
5167331,160,51,,,,,,Rivanna CDP,1860,780,,,606,
5167352,160,51,,,,,,Riverdale CDP,956,486,,,283,
5167704,160,51,,,,,,Riverview CDP,782,325,,,219,
5168000,160,51,,,,,,Roanoke city,97032,47453,94911,45257,23487,24255
5168470,160,51,,,,,,Rockwood CDP,8431,3423,,,2457,
5168880,160,51,,,,,,Rose Hill CDP,20226,7447,15058,5783,5172,4081
5168885,160,51,,,,,,Rose Hill CDP,799,391,714,344,229,198
5169168,160,51,,,,,,Round Hill town,539,218,500,177,155,140
5169360,160,51,,,,,,Ruckersville CDP,1141,512,,,316,
5169456,160,51,,,,,,Rural Retreat town,1483,695,1350,629,438,399
5169472,160,51,,,,,,Rushmere CDP,1018,533,1083,529,290,313
5169536,160,51,,,,,,Rustburg CDP,1431,584,1271,518,367,322
5169792,160,51,,,,,,St. Charles town,128,66,159,72,33,44
5169936,160,51,,,,,,St. Paul town,970,475,1000,496,281,302
5170000,160,51,,,,,,Salem city,24802,10832,24747,10403,6309,6544
5170112,160,51,,,,,,Saluda CDP,769,236,,,144,
5170256,160,51,,,,,,Sandston CDP,7571,3345,,,1981,
5170296,160,51,,,,,,Sandy Level CDP,484,280,689,277,131,187
5170352,160,51,,,,,,Sanford CDP,212,127,,,61,
5170520,160,51,,,,,,Savage Town CDP,78,42,,,22,
